23,ACEITE LUBRICANTE SAE 10 W 30 PARA MOTOR GASOLINERO,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,120
24,ACEITE LUBRICANTE SAE 15 W 40 PARA MOTOR PETROLERO,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,90
25,ACEITE LUBRICANTE SAE 20 W 50,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,136
26,ACEITE LUBRICANTE SAE 20 W 50,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,86
27,ACEITE LUBRICANTE SAE 20W-50  GASOLINERO,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,187.83
28,ACEITE LUBRICANTE SAE 25 W 60 PARA MOTOR PETROLERO,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,53
29,ACEITE LUBRICANTE SAE 40,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,60
30,ACEITE LUBRICANTE SAE 80 W 90,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,98.33
31,ACEITE LUBRICANTE SAE 85W140,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,130.67
32,ACEITE LUBRICANTE  SAE 90,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,90
33,ACEITE MOBIL ATF-220,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",LITRO,21
34,ACEITE MULTIGRADO 20W-50 GASOLINERO X 1 gal,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",UNIDAD,150
35,ACEITE PARA MOTOR 5W40 SINTETICO,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,90
36,ACEITE PARA MOTOR DE DOS TIEMPOS,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",LITRO,60
37,ACEITE SAE 15W40,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,88.75
38,ACEITE SAE 25W60,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,87.51
39,ACEITE SAE30 ,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,60
40,ACEITE VEGETAL COMESTIBLE,F,2.2.2.3.1.1,ALIMENTOS PARA PROGRAMAS SOCIALES,LITRO,6.08
41,ACEITE VEGETAL COMESTIBLE,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,LITRO,5
42,ACEITE VEGETAL COMESTIBLE x 500mL,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,3.3
43,ACEITUNA NEGRA x 100g,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,BOLSA,2.3
44,ACIDIFICANTE CON INDICADOR DE pH PARA AGUA - USO AGRÍCOLA ,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,44.33
45,ACIDO MURIATICO,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",LITRO,5.58
46,ACIDO MURIATICO,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,5
47,ACIDO MURIATICO,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,6
48,ACIDO MURIATICO X 1 gal,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,20
49,ACIDO MURIATICO X 1 gal,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",UNIDAD,18.17
50,ACIDO MURIATICO X 1 gal,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,26.5
51,ACUMULADOR DE ENERGIA - EQUIPO DE UPS 10 KVA,F,2.6.3.2.9.99,"MAQUINARIAS, EQUIPOS Y MOBILIARIOS DE OTRAS INSTALACIONES",UNIDAD,15765.98
52,ADAPTADOR DE VGA CON CABLE DE AUDIO,F,2.3.1.5.1.1,REPUESTOS Y ACCESORIOS,UNIDAD,200
53,ADITIVO CURADOR  DE  CONCRETO,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,11.5
54,ADITIVO CURADOR DE CONCRETO,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,5.5
55,ADITIVO CURADOR DE  CONCRETO,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,5
56,ADITIVO DESMOLDEADOR DE ENCROFADOS INC. SOLVENTE,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,188
57,ADITIVO EPOXICO  PARA CONCRETO,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,50
58,ADITIVO MEJORADOR ADHERENCIA PARA MORTEROS Y CONCRETO ,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,55
59,ADITIVO POLIURETANO SELLADOR PARA CONCRETO 300 ml,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,32
60,ADITIVO SIKADUR 32 PARTE A Y B  (1Kg),I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,JUEGO,92
61,ADITIVO SIKADUR 32 PARTE A Y B (5 kG),I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,JUEGO,275
62,AGENDA CLASICA,F,2.3.1.5.1.2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",UNIDAD,24.25
63,AGENDA CLASICA,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20
64,AGUA DE MESA SIN GAS de 625 ml x15 UND,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,PAQUETE,19.5
65,AGUA DE MESA SIN GAS de 625 ml x15 UND,F,2.3.1.99.1.99,OTROS BIENES,PAQUETE,18
66,AGUA DE MESA SIN GAS de 625 ml x15 UND,I,2.6.8.1.3.1,ELABORACION DE EXPEDIENTES TECNICOS,PAQUETE,22.5
67,AGUA DE MESA SIN GAS X 20 L INCLUYE ENVASE,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,CAJA,19.93
68,AGUA DE MESA SIN GAS X 20 L INCLUYE ENVASE,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,21.67
69,AGUA DE MESA SIN GAS X 20 L INCLUYE ENVASE,I,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,CAJA,20
70,AGUA DE MESA SIN GAS X 20 L INCLUYE ENVASE,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,CAJA,20
71,AGUA DE MESA SIN GAS X 20 L INCLUYE ENVASE,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20.5
72,AGUA DE MESA SIN GAS X 20 L INCLUYE ENVASE,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20.5
73,AGUA DE MESA SIN GAS x 20Lts,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,20.17
74,AGUA DE MESA SIN GAS x 20Lts,I,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,20.47
75,AGUA DE MESA SIN GAS x 20Lts,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20
76,AGUA DE MESA SIN GAS x 20Lts,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,17.7
77,AGUA DE MESA SIN GAS x 20Lts,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,24
78,AGUA DE MESA SIN GAS x 20Lts,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,23
79,AGUA DE MESA SIN GAS x 20Lts,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20
80,AGUA DE MESA SIN GAS x 20Lts,I,2.6.7.1.4.2,GASTOS POR LA COMPRA DE BIENES,UNIDAD,15
81,AGUA DE MESA SIN GAS x 20Lts,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,UNIDAD,18
82,AGUA DE MESA SIN GAS x 500ml,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,1.68
83,AGUA DE MESA SIN GAS x 500ml,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,UNIDAD,1
84,AGUA DE MESA SIN GAS X 625 mL,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,1.37
85,AGUA DE MESA SIN GAS x 650 mL x 15 ,I,2.6.2.2.1.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,PAQUETE,21.5
86,AGUA DESTILADA,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,10
87,AGUA DESTILADA,F,2.3.1.6.1.1,DE VEHICULOS,GALON,60
88,AGUA DESTILADA INY 10 mL,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,1.8
89,AGUA MINERAL SIN GAS X 20 L,F,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,20.41
90,AGUA MINERAL SIN GAS X 20 L,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,21
91,AGUA MINERAL SIN GAS X 20 L,F,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,21
92,AGUA MINERAL SIN GAS X 20 L,I,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,UNIDAD,21
93,AGUA MINERAL SIN GAS X 20 L,I,2.6.2.2.1.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20
94,AGUA MINERAL SIN GAS X 20 L,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,23
95,AGUA MINERAL SIN GAS X 20 L,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,20
96,AGUA MINERAL SIN GAS X 20 L,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,14.35
97,AGUA MINERAL SIN GAS X 20 L,I,2.6.8.1.3.1,ELABORACION DE EXPEDIENTES TECNICOS,UNIDAD,20.5
98,AGUA OXIGENADA,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,FRASCO,8.05
99,AGUJA DE ARRIERO DE 5 in,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,1.5
100,"AGUJA HIPODERMICA DESCARTABLE Nº 18 G x 1 1/2""",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,0.3
101,"AGUJA HIPODERMICA DESCARTABLE Nº 21 G x 1 1/2""",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,0.3
102,"AGUJA HIPODERMICA DESCARTABLE Nº 23 G x1 1/2""",I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,5
103,AISLADOR BIPOLAR TIPO CARRETE DE PORCELANA,I,2.6.8.1.4.2,GASTO POR LA COMPRA DE BIENES,UNIDAD,35
104,ALAMBRE DE FIERRO GALVANIZADO Nº 16,F,2.3.1.99.1.99,OTROS BIENES,KILOGRAMO,9.25
105,ALAMBRE DE FIERRO NEGRO Nº 16 ,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,KILOGRAMO,5
106,ALAMBRE DE FIERRO NEGRO Nº 16 ,F,2.3.1.99.1.99,OTROS BIENES,KILOGRAMO,5
107,ALAMBRE DE FIERRO NEGRO Nº 16 ,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,5
108,ALAMBRE DE FIERRO NEGRO Nº 16 ,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,4.3
109,ALAMBRE DE FIERRO NEGRO Nº 8 ,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,4.5
110,ALAMBRE DE FIERRO NEGRO Nº 8 ,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,3.9
111,ALAMBRE DE FIERRO NEGRO Nº 8 ,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,KILOGRAMO,4.3
112,ALCOHOL EN GEL,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",LITRO,23.33
113,ALCOHOL EN GEL,I,2.6.2.2.1.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,24.5
114,ALCOHOL EN GEL,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,40
115,ALCOHOL ETILICO 70% GEL,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",LITRO,21.25
116,ALCOHOL ETILICO 70% GEL,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,21
117,ALCOHOL ETILICO (ETANOL) 70º ,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,LITRO,21
118,ALCOHOL ETILICO (ETANOL) 70º ,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",LITRO,17.54
119,ALCOHOL ETILICO (ETANOL) 70º ,F,2.3.1.6.1.4,DE SEGURIDAD,LITRO,17
120,ALCOHOL ETILICO (ETANOL) 70º ,F,2.3.1.8.1.99,OTROS PRODUCTOS SIMILARES,LITRO,18
121,ALCOHOL ETILICO (ETANOL) 70º ,F,2.3.1.8.2.1,"MATERIAL, INSUMOS, INSTRUMENTAL Y ACCESORIOS  MEDICOS, QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",LITRO,14.2
122,ALCOHOL ETILICO (ETANOL) 70º ,F,2.3.1.99.1.99,OTROS BIENES,LITRO,18
123,ALCOHOL ETILICO (ETANOL) 70º ,I,2.3.1.99.1.99,OTROS BIENES,LITRO,18
124,ALCOHOL ETILICO (ETANOL) 70º ,I,2.6.2.2.1.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,20
125,ALCOHOL ETILICO (ETANOL) 70º ,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,18
126,ALCOHOL ETILICO (ETANOL) 70º ,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,18
127,ALCOHOL ETILICO (ETANOL) 70º ,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,16.13
128,ALCOHOL ETILICO (ETANOL) 70º ,I,2.6.8.1.3.1,ELABORACION DE EXPEDIENTES TECNICOS,LITRO,20
129,ALCOHOL ETILICO (ETANOL) 70º  GEL 400mL,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,18
130,ALCOHOL ETILICO (ETANOL) 90º x 250ml,F,2.3.1.8.1.2,MEDICAMENTOS,UNIDAD,4
131,ALCOHOL ETILICO (ETANOL) 90 X 120 mL,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,3.8
132,ALCOHOL ETILICO (ETANOL) 96º,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",LITRO,20.19
133,ALCOHOL ETILICO (ETANOL) 96º,F,2.3.1.5.99.99,OTROS,LITRO,20
134,ALCOHOL ETILICO (ETANOL) 96º,F,2.3.1.6.1.4,DE SEGURIDAD,LITRO,17.67
135,ALCOHOL ETILICO (ETANOL) 96º,F,2.3.1.8.2.1,"MATERIAL, INSUMOS, INSTRUMENTAL Y ACCESORIOS  MEDICOS, QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",LITRO,19.67
136,ALCOHOL ETILICO (ETANOL) 96º,I,2.3.1.6.1.4,DE SEGURIDAD,LITRO,17
137,ALCOHOL ETILICO (ETANOL) 96º,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,18
138,ALCOHOL ETILICO (ETANOL) 96º,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,20
139,ALCOHOL ETILICO (ETANOL) 96º,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,17.5
140,ALCOHOL ETILICO (ETANOL) 96º,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,LITRO,20
141,ALCOHOL ETILICO (ETANOL) 96º,I,2.6.7.1.4.2,GASTOS POR LA COMPRA DE BIENES,LITRO,18
142,ALCOHOL ETILICO (ETANOL) 96º,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,LITRO,23
143,ALCOHOL GEL,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",GALON,61.5
144,ALCOHOL GEL,F,2.3.1.8.2.1,"MATERIAL, INSUMOS, INSTRUMENTAL Y ACCESORIOS  MEDICOS, QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",GALON,89
145,ALCOHOL GEL,F,2.3.2.1.2.99,OTROS GASTOS,GALON,65
146,ALCOHOL GEL,I,2.6.2.3.2.5,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,52
147,ALCOHOL GEL,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,89
148,ALCOHOL GEL,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,65
149,ALCOHOL GEL,I,2.6.8.1.2.1,ESTUDIO DE PREINVERSION,GALON,89
150,ALCOHOL GEL,I,2.6.8.1.3.1,ELABORACION DE EXPEDIENTES TECNICOS,GALON,71
151,ALCOHOL GEL ANTIBACTERIAL x 300ml,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",UNIDAD,9
152,ALCOHOL GEL x 380ml,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",FRASCO,11.42
153,ALCOHOL GEL x 380ml,F,2.3.1.8.1.2,MEDICAMENTOS,FRASCO,12
154,ALCOHOL GEL x 380ml,F,2.3.1.8.2.1,"MATERIAL, INSUMOS, INSTRUMENTAL Y ACCESORIOS  MEDICOS, QUIRURGICOS, ODONTOLOGICOS Y DE LABORATORIO",FRASCO,12.8
155,ALCOHOL GEL x 380ml,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,FRASCO,11.75
156,ALCOHOL GEL x 380ml,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,FRASCO,15
157,ALCOHOL GEL x 380ml,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,FRASCO,9.5
158,ALCOHOL GEL X 400 mL,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",UNIDAD,11.3
159,ALCOHOL GEL X 400 mL,I,2.6.2.2.1.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,13.95
160,ALCOHOL GEL X 400 mL,I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,8.5
161,ALCOHOL GEL X 400 mL,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,14
162,ALCOHOL GEL X 400 mL,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,12.67
163,ALCOHOL GEL X 500 mL,F,2.2.2.3.99.99,OTROS BIENES DE ASISTENCIA SOCIAL,UNIDAD,13
164,ALCOHOL GEL X 500 mL,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",UNIDAD,11.92
165,ALCOHOL GEL X 500 mL,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,12
166,ALCOHOL GEL X 500 mL,I,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,30
167,ALCOHOL GEL X 500 mL,I,2.3.1.99.1.99,OTROS BIENES,UNIDAD,12
168,ALCOHOL GEL X 500 mL,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,17
169,ALCOHOL GEL X 500 mL,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,17.8
170,ALCOHOL GEL X 500 mL,I,2.6.7.1.4.2,GASTOS POR LA COMPRA DE BIENES,UNIDAD,17.5
171,ALCOHOL GEL X 800 mL CON VALVULA DISPENSADORA,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,23
172,ALCOHOL GEL X 800 mL CON VALVULA DISPENSADORA,F,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",UNIDAD,22.5
173,ALCOHOL GEL X 800 mL CON VALVULA DISPENSADORA,I,2.3.1.6.1.4,DE SEGURIDAD,UNIDAD,23
174,ALCOHOLIMETRO PORTATIL,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,110
175,ALFILER CON CABEZA X 50 g,F,2.3.1.5.1.2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",UNIDAD,2.75
176,ALGODON EN TORUNDA X 100,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,9
177,ALGODON HIDROFILO X 100 g,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,6
178,ALGODON HIDROFILO X 50 g,F,2.3.1.8.1.2,MEDICAMENTOS,UNIDAD,3
179,ALGODON HIDROFILO X 50 g,I,2.6.2.3.99.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,3.9
180,ALICATE DE CORTE,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,36
181,ALICATE DE CORTE,F,2.3.1.99.1.1,HERRAMIENTAS,UNIDAD,14
182,ALICATE DE PINZA,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,33
183,ALICATE DE PRESION,I,2.6.2.3.6.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,15
